"date","ID","seasonID","sex","season","x","y","moved","days","dist","Site"
"1998-06-04","Becky","BeckySummer1998","FEMALE","Summer",515250,3161870,1,6,156.818366271301,"Brevard"
"1998-06-09","Becky","BeckySummer1998","FEMALE","Summer",514986,3161973,1,5,448.469619929823,"Brevard"
"1998-06-17","Becky","BeckySummer1998","FEMALE","Summer",514991,3162066,1,7,169.070991006737,"Brevard"
"1998-06-24","Becky","BeckySummer1998","FEMALE","Summer",514572,3161582,1,15,405.182674851727,"Brevard"
"1998-06-29","Becky","BeckySummer1998","FEMALE","Summer",514659,3161564,1,7,396.919387281599,"Brevard"
"1998-07-07","Becky","BeckySummer1998","FEMALE","Summer",515280,3162011,1,1,130.510535973154,"Brevard"
"1998-07-14","Becky","BeckySummer1998","FEMALE","Summer",515001,3162064,0,9,56.8506816142076,"Brevard"
"1998-07-15","Becky","BeckySummer1998","FEMALE","Summer",515001,3162064,1,6,254.489685449136,"Brevard"
"1998-07-21","Becky","BeckySummer1998","FEMALE","Summer",515031,3162002,1,4,209.057408383439,"Brevard"
"1998-07-29","Becky","BeckySummer1998","FEMALE","Summer",514896,3161844,1,4,361.93507705112,"Brevard"
"1998-08-03","Becky","BeckySummer1998","FEMALE","Summer",515148,3162051,1,12,339.590930385368,"Brevard"
"1998-08-05","Becky","BeckySummer1998","FEMALE","Summer",514969,3161556,1,6,112.089250153616,"Brevard"
"1998-09-08","Becky","BeckySummer1998","FEMALE","Summer",515000,3161838,0,12,104.694794521982,"Brevard"
"1998-09-09","Becky","BeckySummer1998","FEMALE","Summer",515000,3161838,0,6,338,"Brevard"
"1998-09-30","Becky","BeckySummer1998","FEMALE","Summer",514784,3161842,1,6,349.927135272474,"Brevard"
"1998-10-02","Becky","BeckyWinter1998","FEMALE","Winter",514579,3161885,1,21,435.270031130102,"Brevard"
"1998-10-19","Becky","BeckyWinter1998","FEMALE","Winter",514861,3161840,1,5,197.284059163431,"Brevard"
"1998-10-26","Becky","BeckyWinter1998","FEMALE","Winter",514561,3161615,1,15,706.025495290361,"Brevard"
"1998-11-10","Becky","BeckyWinter1998","FEMALE","Winter",515023,3161859,1,1,70.2139587261678,"Brevard"
"1998-11-18","Becky","BeckyWinter1998","FEMALE","Winter",514617,3162031,1,7,354.809808207158,"Brevard"
"1998-11-27","Becky","BeckyWinter1998","FEMALE","Winter",514634,3161417,1,1,141.767415155952,"Brevard"
"1998-12-03","Becky","BeckyWinter1998","FEMALE","Winter",514561,3161290,NA,8,310.56722299689,"Brevard"
"1999-01-13","Becky","BeckyWinter1998","FEMALE","Winter",514731,3161393,1,10,74.6860093993514,"Brevard"
"1999-01-21","Becky","BeckyWinter1998","FEMALE","Winter",514559,3161414,1,12,293.015357959271,"Brevard"
"1999-03-03","Becky","BeckyWinter1998","FEMALE","Winter",514733,3161397,0,15,199.882465464082,"Brevard"
"1999-03-05","Becky","BeckyWinter1998","FEMALE","Winter",514733,3161397,0,17,241.422865528516,"Brevard"
"1999-03-10","Becky","BeckyWinter1998","FEMALE","Winter",514733,3161397,1,5,436.405774480586,"Brevard"
"1999-03-17","Becky","BeckyWinter1998","FEMALE","Winter",514629,3161432,1,13,793.748700786338,"Brevard"
"1999-03-25","Becky","BeckyWinter1998","FEMALE","Winter",514733,3161397,0,16,1151.23759493859,"Brevard"
"1999-03-30","Becky","BeckyWinter1998","FEMALE","Winter",514733,3161397,1,12,454.614122085973,"Brevard"
"1999-04-20","Becky","BeckySummer1999","FEMALE","Summer",515011,3161867,0,44,363.979395021202,"Brevard"
"1999-04-21","Becky","BeckySummer1999","FEMALE","Summer",515011,3161867,0,6,560.261546065764,"Brevard"
"1999-04-28","Becky","BeckySummer1999","FEMALE","Summer",515011,3161867,0,14,942.206452960284,"Brevard"
"1999-05-06","Becky","BeckySummer1999","FEMALE","Summer",515011,3161867,1,35,962.351287212731,"Brevard"
"1999-05-17","Becky","BeckySummer1999","FEMALE","Summer",515257,3161839,1,14,750.936082499702,"Brevard"
"1999-05-23","Becky","BeckySummer1999","FEMALE","Summer",514991,3162087,1,21,724.966895795939,"Brevard"
"1999-06-01","Becky","BeckySummer1999","FEMALE","Summer",514941,3162019,1,6,240.077070958474,"Brevard"
"1999-06-08","Becky","BeckySummer1999","FEMALE","Summer",514642,3161763,1,29,392.40412841865,"Brevard"
"1999-06-16","Becky","BeckySummer1999","FEMALE","Summer",514655,3161565,1,34,140.246212070059,"Brevard"
"1999-06-29","Becky","BeckySummer1999","FEMALE","Summer",514583,3161777,1,51,59.6154342431555,"Brevard"
"1999-07-08","Becky","BeckySummer1999","FEMALE","Summer",514603,3161807,0,153,99.9849988748312,"Brevard"
"1999-07-14","Becky","BeckySummer1999","FEMALE","Summer",514603,3161807,0,6,102.078401241399,"Brevard"
"1999-08-03","Becky","BeckySummer1999","FEMALE","Summer",514585,3161715,1,3,220.494897900156,"Brevard"
"1999-08-18","Becky","BeckySummer1999","FEMALE","Summer",514704,3161614,1,9,132.834483474736,"Brevard"
"1999-08-23","Becky","BeckySummer1999","FEMALE","Summer",514722,3162033,1,12,98.0612053770501,"Brevard"
"1999-09-09","Becky","BeckySummer1999","FEMALE","Summer",514607,3161420,1,11,161.012421881046,"Brevard"
"1999-09-19","Becky","BeckySummer1999","FEMALE","Summer",514758,3162061,1,26,441.702388492523,"Brevard"
"1999-10-15","Becky","BeckyWinter1999","FEMALE","Winter",514727,3161361,1,8,229.804264538324,"Brevard"
"1999-10-25","Becky","BeckyWinter1999","FEMALE","Winter",514689,3161587,1,5,12.1655250605964,"Brevard"
"1999-10-26","Becky","BeckyWinter1999","FEMALE","Winter",514715,3161445,1,10,231.482180739685,"Brevard"
"1999-11-09","Becky","BeckyWinter1999","FEMALE","Winter",514743,3161430,1,7,111.803398874989,"Brevard"
"1999-11-19","Becky","BeckyWinter1999","FEMALE","Winter",514726,3161398,NA,13,111.359777298628,"Brevard"
"2000-01-04","Becky","BeckyWinter1999","FEMALE","Winter",514985,3162204,1,3,351.677408998645,"Brevard"
"2000-01-11","Becky","BeckyWinter1999","FEMALE","Winter",514986,3162204,1,4,305.655034311558,"Brevard"
"2000-01-17","Becky","BeckyWinter1999","FEMALE","Winter",514985,3162202,1,4,392.40412841865,"Brevard"
"2000-01-26","Becky","BeckyWinter1999","FEMALE","Winter",514984,3162199,1,3,79.7621464104371,"Brevard"
"2000-02-14","Becky","BeckyWinter1999","FEMALE","Winter",514985,3162199,1,8,79.7621464104371,"Brevard"
"2000-02-26","Becky","BeckyWinter1999","FEMALE","Winter",514633,3161408,1,5,124.326183887386,"Brevard"
"2000-03-17","Becky","BeckyWinter1999","FEMALE","Winter",514644,3161430,1,4,121.016527796826,"Brevard"
"2000-03-25","Becky","BeckyWinter1999","FEMALE","Winter",514984,3162210,1,11,459.16881427205,"Brevard"
"2000-04-06","Becky","BeckySummer2000","FEMALE","Summer",514985,3162204,0,6,670.880019079418,"Brevard"
"2000-04-14","Becky","BeckySummer2000","FEMALE","Summer",514985,3162204,0,1,150.850919785065,"Brevard"
"2000-05-02","Becky","BeckySummer2000","FEMALE","Summer",514985,3162204,1,6,150.850919785065,"Brevard"
"2000-05-18","Becky","BeckySummer2000","FEMALE","Summer",514988,3162214,1,6,271.37059531202,"Brevard"
"2000-05-24","Becky","BeckySummer2000","FEMALE","Summer",515199,3162107,1,8,274.116763442151,"Brevard"
"2000-06-06","Becky","BeckySummer2000","FEMALE","Summer",514989,3162221,1,6,808.744706319615,"Brevard"
"2000-06-14","Becky","BeckySummer2000","FEMALE","Summer",514987,3162216,1,6,46.6154480832267,"Brevard"
"2000-06-30","Becky","BeckySummer2000","FEMALE","Summer",515252,3163065,1,8,667.389691259912,"Brevard"
"2000-07-06","Becky","BeckySummer2000","FEMALE","Summer",515126,3162777,1,7,752.980743445674,"Brevard"
"2000-07-12","Becky","BeckySummer2000","FEMALE","Summer",515136,3162786,1,1,99.724620831568,"Brevard"
"2000-07-19","Becky","BeckySummer2000","FEMALE","Summer",515056,3162188,1,5,103.4456378974,"Brevard"
"2000-07-26","Becky","BeckySummer2000","FEMALE","Summer",515004,3162102,1,3,836.737712786988,"Brevard"
"2000-08-03","Becky","BeckySummer2000","FEMALE","Summer",515338,3162319,1,7,211.981131235778,"Brevard"
"2000-08-10","Becky","BeckySummer2000","FEMALE","Summer",515114,3162820,1,6,936.449144374643,"Brevard"
"2000-08-16","Becky","BeckySummer2000","FEMALE","Summer",515003,3162111,1,5,588.139439248891,"Brevard"
"2000-09-06","Becky","BeckySummer2000","FEMALE","Summer",515990,3162053,1,3,303.349633261687,"Brevard"
"2000-09-13","Becky","BeckySummer2000","FEMALE","Summer",514975,3162048,1,7,89.8443097808648,"Brevard"
"2000-09-24","Becky","BeckySummer2000","FEMALE","Summer",515114,3162821,1,21,300.166620396073,"Brevard"
"2000-10-13","Becky","BeckyWinter2000","FEMALE","Winter",514986,3162212,1,4,803.02552885945,"Brevard"
"2000-10-25","Becky","BeckyWinter2000","FEMALE","Winter",514982,3162200,1,3,11.4017542509914,"Brevard"
"2000-11-01","Becky","BeckyWinter2000","FEMALE","Winter",514986,3162210,1,3,478.004184082106,"Brevard"
"2000-11-17","Becky","BeckyWinter2000","FEMALE","Winter",514986,3162197,1,6,670.719017174852,"Brevard"
"2000-11-22","Becky","BeckyWinter2000","FEMALE","Winter",514985,3162201,1,2,473.05919291353,"Brevard"
"2000-11-29","Becky","BeckyWinter2000","FEMALE","Winter",514986,3162203,1,13,890.299949455238,"Brevard"
"2000-12-06","Becky","BeckyWinter2000","FEMALE","Winter",514985,3162203,1,4,917.691124507587,"Brevard"
"2000-12-18","Becky","BeckyWinter2000","FEMALE","Winter",514985,3162204,1,7,625.159179729451,"Brevard"
"2000-12-29","Becky","BeckyWinter2000","FEMALE","Winter",514986,3162204,NA,4,77.7946013551069,"Brevard"
"2001-01-04","Becky","BeckyWinter2000","FEMALE","Winter",514985,3162204,0,21,94.1541289588513,"Brevard"
"2001-01-11","Becky","BeckyWinter2000","FEMALE","Winter",514985,3162204,0,9,148.660687473185,"Brevard"
"2001-01-17","Becky","BeckyWinter2000","FEMALE","Winter",514985,3162204,0,5,1698.76337375162,"Brevard"
"2001-01-26","Becky","BeckyWinter2000","FEMALE","Winter",514985,3162204,0,22,1698.76337375162,"Brevard"
"2001-02-01","Becky","BeckyWinter2000","FEMALE","Winter",514985,3162204,1,1,76.4002617796562,"Brevard"
"2001-08-05","Becky","BeckySummer2001","FEMALE","Summer",515175,3162738,NA,1,25.4950975679639,"Brevard"
