"BOBO","Native"
0,-1.14273621932923
0,-0.298240641932645
1,-1.42113395555893
0,-0.542372639427996
0,1.38970174272906
0,0.750810529748094
1,0.977249111266663
1,-0.700327757801523
1,-1.51302854310727
0,1.60827214530711
0,-0.681368650231143
0,-0.794962334122586
0,1.0391191876517
0,1.51694113746297
0,-1.35011649230531
0,-1.13081608626634
0,-0.484288543412474
0,1.06265582033309
0,0.69687618362601
0,-1.27566991435927
0,0.280174029960912
0,-0.632964720936327
1,0.0242885333325463
1,0.97285969113261
0,-1.46652285756743
1,-1.08954587480743
1,-1.07710615120656
1,0.0304140315578748
0,-0.834487456600581
0,-0.681182538484824
0,-0.194217605577573
1,0.785188497914148
0,-0.446962156917677
1,-0.905417440777854
0,0.118633554775858
0,-1.20082146712402
0,0.366702476423495
0,0.354990736496729
0,1.41253709662621
0,-1.50432935543129
0,-1.39677187728142
1,0.0727533491085405
0,0.852405141207516
1,1.20779081003488
0,1.07940931690587
0,-1.1351913079516
0,-0.707018009513999
0,0.7708747710351
0,-0.26433359290527
0,-0.725320282715079
0,0.953081947728207
1,0.881792155449611
0,1.10765801207596
0,-0.932404665268726
0,0.719577503954055
1,0.685786153353627
1,1.18309829706216
0,0.792625484236712
0,1.19865783406449
0,0.245652937667581
1,-0.301199315497532
1,1.13035296878566
0,1.15984339505053
1,-0.153086387622558
0,-1.17139516719371
0,-1.57732125362425
0,-1.46250183000804
0,1.18614494213076
0,-1.45621476021859
0,-0.303848296257582
0,-0.78364264756391
0,0.0393857523620048
0,1.1882189027863
0,-1.08437178646377
0,1.44751146185913
0,-0.500685545335855
0,-1.41705390348563
0,1.59415641595968
0,-0.306264331559344
0,1.21846199706956
0,0.636325862654949
0,0.99613284861787
0,0.523675355472097
1,-1.00345628886873
0,-0.290936335572996
0,-1.20352558381517
0,-1.57917356809471
1,-1.60261994240632
0,0.840982972850953
0,-0.15869683338089
1,-0.0457952625994805
1,0.274881510180499
1,0.929709148438319
0,-0.0119708267983981
0,1.42615201748031
0,1.53942477302853
0,0.98797105398102
0,0.722613710928278
1,1.25045752728931
0,-1.2875618318653
